127.0.0.1, 2015-09-15 22:47:13, GET, /admin/static/_2.9.5/plugin_multiselect/start.js, HTTP/1.1, 304, 0.001234
127.0.0.1, 2015-09-15 22:47:13, GET, /admin/static/_2.9.5/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 304, 0.000761
127.0.0.1, 2015-09-15 22:47:13, GET, /admin/static/_2.9.5/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 304, 0.000546
127.0.0.1, 2015-09-15 22:47:13, GET, /admin/static/_2.9.5/css/bootstrap.min.css, HTTP/1.1, 304, 0.000458
127.0.0.1, 2015-09-15 22:47:13, GET, /admin/static/_2.9.5/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.001588
127.0.0.1, 2015-09-15 22:47:13, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000594
127.0.0.1, 2015-09-15 22:47:17, GET, /main, HTTP/1.1, 200, 0.022118
127.0.0.1, 2015-09-15 22:47:18, GET, /main/static/js/jquery.js, HTTP/1.1, 304, 0.000428
127.0.0.1, 2015-09-15 22:47:18, GET, /main/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.001155
127.0.0.1, 2015-09-15 22:47:18, GET, /main/static/css/calendar.css, HTTP/1.1, 304, 0.001126
127.0.0.1, 2015-09-15 22:47:18, GET, /main/static/js/web2py.js, HTTP/1.1, 304, 0.000449
127.0.0.1, 2015-09-15 22:47:18, GET, /main/static/js/calendar.js, HTTP/1.1, 304, 0.001368
127.0.0.1, 2015-09-15 22:47:18, GET, /main/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001382
127.0.0.1, 2015-09-15 22:47:18, GET, /main/static/css/web2py.css, HTTP/1.1, 304, 0.000818
127.0.0.1, 2015-09-15 22:47:18, GET, /main/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.001377
127.0.0.1, 2015-09-15 22:47:18, GET, /main/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.002302
127.0.0.1, 2015-09-15 22:47:18, GET, /main/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.001393
127.0.0.1, 2015-09-15 22:47:18, GET, /main/static/js/share.js, HTTP/1.1, 304, 0.001041
127.0.0.1, 2015-09-15 22:47:18, GET, /main/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000525
127.0.0.1, 2015-09-15 22:47:18, GET, /main/static/images/twitter.png, HTTP/1.1, 304, 0.000793
127.0.0.1, 2015-09-15 22:47:18, GET, /main/static/images/facebook.png, HTTP/1.1, 304, 0.000608
127.0.0.1, 2015-09-15 22:47:18, GET, /main/static/images/gplus-32.png, HTTP/1.1, 304, 0.000589
127.0.0.1, 2015-09-15 22:48:11, GET, /main/static/myHtml.html, HTTP/1.1, 304, 0.000249
127.0.0.1, 2015-09-15 22:48:12, GET, /main/hello, HTTP/1.1, 404, 0.007596
127.0.0.1, 2015-09-15 22:48:33, GET, /main/hello, HTTP/1.1, 404, 0.009756
127.0.0.1, 2015-09-15 22:48:34, GET, /main/static/myHtml.html, HTTP/1.1, 304, 0.000260
127.0.0.1, 2015-09-15 22:48:38, GET, /main/testcontrol, HTTP/1.1, 200, 0.007699
127.0.0.1, 2015-09-15 22:49:57, GET, /main/testcontrol/index, HTTP/1.1, 500, 0.018233
127.0.0.1, 2015-09-15 22:50:03, GET, /main/testcontrol/index, HTTP/1.1, 500, 0.019906
127.0.0.1, 2015-09-15 22:50:10, GET, /main/testcontrol/helloweb2py, HTTP/1.1, 404, 0.007386
127.0.0.1, 2015-09-15 22:50:49, GET, /main/testcontrol, HTTP/1.1, 500, 0.017701
127.0.0.1, 2015-09-15 22:50:50, GET, /main/testcontrol, HTTP/1.1, 500, 0.019771
127.0.0.1, 2015-09-15 22:51:18, GET, /main/testcontrol, HTTP/1.1, 200, 0.006775
127.0.0.1, 2015-09-15 22:51:21, GET, /main/testcontrol/helloweb2py, HTTP/1.1, 200, 0.007229
127.0.0.1, 2015-09-15 22:51:27, GET, /main/testcontrol/helloweb2py, HTTP/1.1, 200, 0.007145
127.0.0.1, 2015-09-15 22:51:29, GET, /main/testcontrol/index, HTTP/1.1, 200, 0.007028
